,result,text,clean
0,Negative,"@narkosun Penjilat Ganjar emang beda, memang benar kata Anies, pendukung itu cerminan yg didukung, penghianat kek Ganjar ya memang harus didukung penghianat macam kalian, klop.   https://t.co/6wsIUJjl9K", narkosun penjilat ganjar emang beda memang benar kata anies pendukung itu cerminan yg didukung penghianat kek ganjar ya memang harus didukung penghianat macam kalian klop 
1,Positive,@liputan6dotcom Masyaallah pak anies, liputan dotcom masyaallah pak anies
2,Positive,@tvOneNews Sehat dan lancar segalanya Pak Anies, tvonenews sehat dan lancar segalanya pak anies
3,Negative,@nety_rusi disuruh milih anies kah itu, nety_rusi disuruh milih anies kah itu
4,Negative,"@AriRush5 @tvOneNews Belom tau pak prabowo memberikan beasiswa kpd ribuan anak asuhnya? Artinya prabowo sudah realisasi. Anies ngapain? Ga semua orang bisa diberikan tata kata dapat langsung beli makanan dan susu, klo sudah lapar mau bagaimana?", arirush tvonenews belom tau pak prabowo memberikan beasiswa kpd ribuan anak asuhnya artinya prabowo sudah realisasi anies ngapain ga semua orang bisa diberikan tata kata dapat langsung beli makanan dan susu klo sudah lapar mau bagaimana 
5,Negative,"Hal lain nanti kalau sudah menjabat model pak anies begini akan susah dieksekusi, ekspektasi untuk perubahan akan susah jalan, krn punya konsep tapi gak jelas mau ngapain   Jadinya ya pidato2 bagus aja, ini mirip2 Obama di isu hukum US, pidato bagus, di kebijakan anyep gak jelas",hal lain nanti kalau sudah menjabat model pak anies begini akan susah dieksekusi ekspektasi untuk perubahan akan susah jalan krn punya konsep tapi gak jelas mau ngapain jadinya ya pidato bagus aja ini mirip obama di isu hukum us pidato bagus di kebijakan anyep gak jelas
6,Negative,"Catatan soal ada bolong di jawaban pak Anies  1. Mau diapakan pembangunan yg sudah jalan? 2. Scr hukum dan budgeting bagaimana membatalkan IKN?  Anies gak jwb dan bilang “bangun pada waktunya”  Penyakit pak anies balik lagi, indah di konsep, tp kurang tegas di mekanisme",catatan soal ada bolong di jawaban pak anies mau diapakan pembangunan yg sudah jalan scr hukum dan budgeting bagaimana membatalkan ikn anies gak jwb dan bilang bangun pada waktunya penyakit pak anies balik lagi indah di konsep tp kurang tegas di mekanisme
7,Neutral,"@mdrfhyt Kmrn anies udh pernah ngomong masalah pembiayaan politik sih, kalo yg lain blm denger dia bahas", mdrfhyt kmrn anies udh pernah ngomong masalah pembiayaan politik sih kalo yg lain blm denger dia bahas
8,Positive,"Memang Anies luar biasa, menghadiri sidang rakyat, sidang buruh, sidang mahasiswa, sidang forum rektor dan siap menghadirkan gagasan, mendebatkan gagasan, memberi harapan, cita-cita dg pemikiran yg kuat, tajam, penuh gelora perubahan.",memang anies luar biasa menghadiri sidang rakyat sidang buruh sidang mahasiswa sidang forum rektor dan siap menghadirkan gagasan mendebatkan gagasan memberi harapan cita cita dg pemikiran yg kuat tajam penuh gelora perubahan 
9,Positive,@tvOneNews Pak Anies sudah tepat kok, tvonenews pak anies sudah tepat kok
10,Neutral,@hipohan Harus menang ANIES DAN PKS, hipohan harus menang anies dan pks
11,Positive,@liputan6dotcom pak Anies selalu di hati, liputan dotcom pak anies selalu di hati
12,Positive,Visi transportasi pasangan Amin. Keren kalau benar² diberlakukan. Amiin.  Lihat video Fakta Anies! #TikTok https://t.co/gBice6UIaj,visi transportasi pasangan amin keren kalau benar² diberlakukan amiin lihat video fakta anies tiktok 
13,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ ANIES gak ada lawan, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ anies gak ada lawan
14,Positive,"@AriPasaran @BangPino__ Tapi emang begitu caranya mendesak. Desak terus sampai jawabannya memuaskan. Sekarang pertanyaannya, abang udah puas dengan jawaban Pak Anies?", aripasaran bangpino__ tapi emang begitu caranya mendesak desak terus sampai jawabannya memuaskan sekarang pertanyaannya abang udah puas dengan jawaban pak anies 
15,Neutral,@Metro_TV @aniesbaswedan Pk Anies udah paket lengkap, metro_tv aniesbaswedan pk anies udah paket lengkap
16,Neutral,"@tvOneNews Ide gagasan anies imin cuma akan akaan dan akaan.. klo Pak Prabowo sudah mulai inplementasi. Ya jauh lah, jadi wajar anies melalui tatakatanya serang 02.", tvonenews ide gagasan anies imin cuma akan akaan dan akaan klo pak prabowo sudah mulai inplementasi ya jauh lah jadi wajar anies melalui tatakatanya serang 
17,Neutral,@golkar_id @prabowo @gibran_tweet Bersama sama kawal Anies, golkar_id prabowo gibran_tweet bersama sama kawal anies
18,Positive,@thedufresne Saya yakin itu bisa diatasi semua kalau Anies jadi presiden....😁, thedufresne saya yakin itu bisa diatasi semua kalau anies jadi presiden 
19,Positive,@Metro_TV @aniesbaswedan Ga akan pernah bosan dukung pak Anies, metro_tv aniesbaswedan ga akan pernah bosan dukung pak anies
20,Negative,@Chaves1305 Wah anies gemoy juga.. Jadi bingung ga si??, chaves wah anies gemoy juga jadi bingung ga si 
