created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Dec 06 23:59:53 +0000 2023;1732550460618522934;"@narkosun Penjilat Ganjar emang beda, memang benar kata Anies, pendukung itu cerminan yg didukung, penghianat kek Ganjar ya memang harus didukung penghianat macam kalian, klop.   https://t.co/6wsIUJjl9K";1;10;2;14;in;59346171;1732392659753566264;KDroneHunter;https://twitter.com/KDroneHunter/status/1732550460618522934
Wed Dec 06 23:59:47 +0000 2023;1732550436689953020;"@liputan6dotcom Masyaallah pak anies";0;0;0;0;in;1727202432260993024;1732242737859305523;JulieWalla93823;https://twitter.com/JulieWalla93823/status/1732550436689953020
Wed Dec 06 23:59:30 +0000 2023;1732550364006949267;"@tvOneNews Sehat dan lancar segalanya Pak Anies";0;0;0;0;in;1722877219054436352;1732311204214067518;pancakagemala;https://twitter.com/pancakagemala/status/1732550364006949267
Wed Dec 06 23:59:29 +0000 2023;1732550360592748901;"@nety_rusi disuruh milih anies kah itu";0;0;0;0;in;3022070084;1731881428462215172;torotrapah;https://twitter.com/torotrapah/status/1732550360592748901
Wed Dec 06 23:58:21 +0000 2023;1732550075203875326;"@AriRush5 @tvOneNews Belom tau pak prabowo memberikan beasiswa kpd ribuan anak asuhnya? Artinya prabowo sudah realisasi. Anies ngapain? Ga semua orang bisa diberikan tata kata dapat langsung beli makanan dan susu, klo sudah lapar mau bagaimana?";0;0;0;0;in;1411381036475322368;1732237732758618306;coldbrew165;https://twitter.com/coldbrew165/status/1732550075203875326
Wed Dec 06 23:58:14 +0000 2023;1732550043323007480;"Hal lain nanti kalau sudah menjabat model pak anies begini akan susah dieksekusi, ekspektasi untuk perubahan akan susah jalan, krn punya konsep tapi gak jelas mau ngapain   Jadinya ya pidato2 bagus aja, ini mirip2 Obama di isu hukum US, pidato bagus, di kebijakan anyep gak jelas";2;1;15;86;in;273226220;1732550035391606998;erasmus70;https://twitter.com/erasmus70/status/1732550043323007480
Wed Dec 06 23:58:12 +0000 2023;1732550035391606998;"Catatan soal ada bolong di jawaban pak Anies  1. Mau diapakan pembangunan yg sudah jalan? 2. Scr hukum dan budgeting bagaimana membatalkan IKN?  Anies gak jwb dan bilang “bangun pada waktunya”  Penyakit pak anies balik lagi, indah di konsep, tp kurang tegas di mekanisme";76;147;427;1880;in;273226220;1732550035391606998;erasmus70;https://twitter.com/erasmus70/status/1732550035391606998
Wed Dec 06 23:58:05 +0000 2023;1732550008124367194;"@mdrfhyt Kmrn anies udh pernah ngomong masalah pembiayaan politik sih, kalo yg lain blm denger dia bahas";0;0;0;0;in;770381797397979138;1732437206210662854;havjoon;https://twitter.com/havjoon/status/1732550008124367194
Wed Dec 06 23:57:45 +0000 2023;1732549922556453134;"Memang Anies luar biasa, menghadiri sidang rakyat, sidang buruh, sidang mahasiswa, sidang forum rektor dan siap menghadirkan gagasan, mendebatkan gagasan, memberi harapan, cita-cita dg pemikiran yg kuat, tajam, penuh gelora perubahan.";0;0;1;5;in;1026058447593164800;1732549922556453134;UsodoWiro;https://twitter.com/UsodoWiro/status/1732549922556453134
Wed Dec 06 23:57:35 +0000 2023;1732549880969900180;"@tvOneNews Pak Anies sudah tepat kok";0;0;0;0;in;1722877904051408896;1732311204214067518;devaraprasaka;https://twitter.com/devaraprasaka/status/1732549880969900180
Wed Dec 06 23:57:22 +0000 2023;1732549826125185529;"@hipohan Harus menang ANIES DAN PKS";0;0;0;3;in;951952690111594496;1732367641745191107;NgilmuKantiLaku;https://twitter.com/NgilmuKantiLaku/status/1732549826125185529
Wed Dec 06 23:57:17 +0000 2023;1732549804667109479;"@liputan6dotcom pak Anies selalu di hati";0;0;0;0;in;1727201474391035904;1732242737859305523;StevenTayl74799;https://twitter.com/StevenTayl74799/status/1732549804667109479
Wed Dec 06 23:57:01 +0000 2023;1732549739932221800;"Visi transportasi pasangan Amin. Keren kalau benar² diberlakukan. Amiin.  Lihat video Fakta Anies! #TikTok https://t.co/gBice6UIaj";0;0;0;0;in;782424933754298368;1732549739932221800;aboeMuhammad87;https://twitter.com/aboeMuhammad87/status/1732549739932221800
Wed Dec 06 23:56:43 +0000 2023;1732549661934997887;"@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ ANIES gak ada lawan";0;1;0;0;in;1261809883290259457;1732283173088956902;AkuSukses8;https://twitter.com/AkuSukses8/status/1732549661934997887
