,result,text,clean
0,Positive,"@yusuf_dumdum Saya berpikir positif saja....  Dimana ada ganjar kenapa disitu ada jokowi?"" Berarti bapak Ganjar yang di cintai rakyat Indonesia dan semoga bapak Ganjar Pranowo dan bapak Mahfud MD menjadi Presiden &amp  Wakil Presiden Republik Indonesia 2024🇲🇨❤️""", yusuf_dumdum saya berpikir positif saja dimana ada ganjar kenapa disitu ada jokowi berarti bapak ganjar yang di cintai rakyat indonesia dan semoga bapak ganjar pranowo dan bapak mahfud md menjadi presiden amp wakil presiden republik indonesia 
1,Negative,"@narkosun Penjilat Ganjar emang beda, memang benar kata Anies, pendukung itu cerminan yg didukung, penghianat kek Ganjar ya memang harus didukung penghianat macam kalian, klop.   https://t.co/6wsIUJjl9K", narkosun penjilat ganjar emang beda memang benar kata anies pendukung itu cerminan yg didukung penghianat kek ganjar ya memang harus didukung penghianat macam kalian klop 
2,Neutral,@KATADATAcoid tetap setia dukung ganjar mahfud, katadatacoid tetap setia dukung ganjar mahfud
3,Negative,"@pipieoo6 @Dennysiregar7 OMONG KOSONG, 10tahunan rezim teror kebo mana ada lagi rakyat percaya, bagi-2 sembako mana sekarang, dana para kebo sudah mulai menyusut ya saat bohir kabur mencret ganjar keok😂", pipieoo dennysiregar omong kosong tahunan rezim teror kebo mana ada lagi rakyat percaya bagi sembako mana sekarang dana para kebo sudah mulai menyusut ya saat bohir kabur mencret ganjar keok 
4,Positive,"@jpnncom mantap pak 💗 semangat menegakkan hukum di Indonesia, Ganjar-Mahfud pasti menang 🌷", jpnncom mantap pak semangat menegakkan hukum di indonesia ganjar mahfud pasti menang 
5,Neutral,@gorunbiraz3 @PDIPerjuangan @jokowi @erwinaksa_id @PartaiSocmed @Mr_As_Opal @tijabar @BosPurwa Mending dari dulu ganjar yg jadi presiden, gorunbiraz pdiperjuangan jokowi erwinaksa_id partaisocmed mr_as_opal tijabar bospurwa mending dari dulu ganjar yg jadi presiden
6,Negative,"@icikiwir_08 @Wadas_Melawan Liat nih narasi pendukung 02...sama sekali tidak punya empati dan niat baik. Lagian wadas itu proyek pusat, ganjar yg pasang badan", icikiwir_ wadas_melawan liat nih narasi pendukung sama sekali tidak punya empati dan niat baik lagian wadas itu proyek pusat ganjar yg pasang badan
7,Positive,Ini data Jawa Tengah dibawah kepemimpinan Pak Ganjar juara dalam hal Provinsi anti korupsi,ini data jawa tengah dibawah kepemimpinan pak ganjar juara dalam hal provinsi anti korupsi
8,Positive,@Melihat_Indo Semakin banyak dukungan dari masyarakat kepada mas Ganjar Pranowo. Good, melihat_indo semakin banyak dukungan dari masyarakat kepada mas ganjar pranowo good
9,Positive,"@Melihat_Indo Sebuah kehormatan bagi pak ganjar, terimakasih untuk masyarakat Kalimantan Timur", melihat_indo sebuah kehormatan bagi pak ganjar terimakasih untuk masyarakat kalimantan timur
10,Positive,Kata Siapa Ganjar-Mahfud Tidak Bisa Meneruskan Pemerintahan Jokowi.  Pilihan Tepat Untuk Menyelamatkan Bangsa &amp  Negara ini Ya Pilih @ganjarpranowo &amp  @mohmahfudmd .  Jayalah Negriku Jayalah Bangsaku Salam Bhineka Tunggal Ika #GasssGanjarMahfud,kata siapa ganjar mahfud tidak bisa meneruskan pemerintahan jokowi pilihan tepat untuk menyelamatkan bangsa amp negara ini ya pilih ganjarpranowo amp mohmahfudmd jayalah negriku jayalah bangsaku salam bhineka tunggal ika gasssganjarmahfud
11,Neutral,@NanangAR1f1n Alam Ganjar memberikan inspirasi kepada generasi muda Makassar untuk berani bermimpi besar @eomoniee_  AlamJelajahSulsel, nanangar n alam ganjar memberikan inspirasi kepada generasi muda makassar untuk berani bermimpi besar eomoniee_ alamjelajahsulsel
12,Positive,@Melihat_Indo Masyaallah luar biasa pak Ganjar bisa langsung di angkat sebagai warga kehormatan, melihat_indo masyaallah luar biasa pak ganjar bisa langsung di angkat sebagai warga kehormatan
13,Positive,@Melihat_Indo Emg pantas pak ganjar mendapatkan kehormatan dari adat karna kecintaanya terhadap kebinekaan, melihat_indo emg pantas pak ganjar mendapatkan kehormatan dari adat karna kecintaanya terhadap kebinekaan
14,Neutral,@sukardiyahya162 @psi_id @ganjarpranowo 75% publik ini pendukung Ganjar semua ??!! Wah Amiinn .. makasi udah di doakan https://t.co/jiMqdXZPvX, sukardiyahya psi_id ganjarpranowo publik ini pendukung ganjar semua wah amiinn makasi udah di doakan 
15,Positive,@ganjarpranowo wah Pak Ganjar dekat banget dengan rakyat dari berbagai latar belakang, ganjarpranowo wah pak ganjar dekat banget dengan rakyat dari berbagai latar belakang
16,Negative,"@HusinShihab Aneh juga, Ganjar melanjutkan Jokowi tapi nyatakan Indonesia tidak baik-baik 😂", husinshihab aneh juga ganjar melanjutkan jokowi tapi nyatakan indonesia tidak baik baik 
17,Neutral,Ganjar Pranowo menegaskan lokalitas budaya tidak boleh diabaikan. #GanjarMahfud2024 https://t.co/NWTQANwRVi,ganjar pranowo menegaskan lokalitas budaya tidak boleh diabaikan ganjarmahfud 
18,Neutral,Pakaian adat menghias Pak Ganjar Pranowo sebagai warga kehormatan adat Dayak Kenyah Kalimantan Timur.  Gaspol Ganjar-Mahfud ✊️🤟🇲🇨 #SahabatGanjar  #GanjarMahfud2024 https://t.co/z1b3BUaqJn,pakaian adat menghias pak ganjar pranowo sebagai warga kehormatan adat dayak kenyah kalimantan timur gaspol ganjar mahfud sahabatganjar ganjarmahfud 
19,Neutral,@kumparan 2024 all in ganjar Mahfud untuk Indonesia maju, kumparan all in ganjar mahfud untuk indonesia maju
20,Neutral,Ganjar Pranowo mendorong adanya pemberian pendidikan yang mendasar terkait lingkungan hidup yang dimulai sejak dini. #GanjarMahfud2024 https://t.co/g51kjlrjtB,ganjar pranowo mendorong adanya pemberian pendidikan yang mendasar terkait lingkungan hidup yang dimulai sejak dini ganjarmahfud 
21,Neutral,@jjaemonade_ @kegblgnunfaedh Haha  nuhun abi seuri isuk isuk, jjaemonade_ kegblgnunfaedh haha nuhun abi seuri isuk isuk
22,Neutral,Prabs bisa joget gemoy.  Ganjar:,prabs bisa joget gemoy ganjar 
23,Neutral,"@icikiwir_08 @Wadas_Melawan Ini sebenarnya tanggung jawab dari pemerintah pusat dan Ganjar Pranowo. Di Wadas itu projek strategis nasional (PSN), begitu pula yang terjadi di Rembang.", icikiwir_ wadas_melawan ini sebenarnya tanggung jawab dari pemerintah pusat dan ganjar pranowo di wadas itu projek strategis nasional psn begitu pula yang terjadi di rembang 
24,Positive,@ganjarpranowo Alhamdulillah program ini akan terus bisa berjalan bersama pak ganjar, ganjarpranowo alhamdulillah program ini akan terus bisa berjalan bersama pak ganjar
25,Neutral,"Ganjar Pranowo dinobatkan sebagai warga kehormatan, oleh suku adat Dayak Kalimantan Timur. #GanjarMahfud2024 https://t.co/e81kwOn9wF",ganjar pranowo dinobatkan sebagai warga kehormatan oleh suku adat dayak kalimantan timur ganjarmahfud 
26,Positive,@NanangAR1f1n Pesan positif Alam Ganjar menciptakan gelombang optimisme di kalangan generasi muda Makassar @dinothesun  AlamJelajahSulsel, nanangar n pesan positif alam ganjar menciptakan gelombang optimisme di kalangan generasi muda makassar dinothesun alamjelajahsulsel
27,Positive,@ganjarpranowo Mantap gasspool pa Ganjar, ganjarpranowo mantap gasspool pa ganjar
28,Negative,@Kanjeng2022 Pendukung ganjar memalukan, kanjeng pendukung ganjar memalukan
29,Negative,"@tempodotco nah sudah komen orang ini, berarti fix ini cuma drama kubu ganjar ya", tempodotco nah sudah komen orang ini berarti fix ini cuma drama kubu ganjar ya
30,Neutral,@Dennysiregar7 Transparansi dan partisipasi masyarakat menjadi landasan pemerintahan Ganjar yang demokratis., dennysiregar transparansi dan partisipasi masyarakat menjadi landasan pemerintahan ganjar yang demokratis 
31,Neutral,"Hari kesepuluh kampanye, Ganjar Pranowo sambangi IKN https://t.co/tjAXXlkxbN",hari kesepuluh kampanye ganjar pranowo sambangi ikn 
32,Positive,@ganjarpranowo Rakyat tau kok pak ganjar adalah sosok yg pas buat indonesiaa, ganjarpranowo rakyat tau kok pak ganjar adalah sosok yg pas buat indonesiaa
33,Neutral,@Dennysiregar7 Komitmen Ganjar terhadap pembangunan berkelanjutan menginspirasi banyak pihak., dennysiregar komitmen ganjar terhadap pembangunan berkelanjutan menginspirasi banyak pihak 
34,Neutral,Ganjar Pranowo mendorong adanya pengembalian fungsi Bulog untuk mewujudkan adanya stabilisasi terhadap harga bahan pokok di Indonesia. #GanjarMahfud2024 https://t.co/S0YmjGEZXF,ganjar pranowo mendorong adanya pengembalian fungsi bulog untuk mewujudkan adanya stabilisasi terhadap harga bahan pokok di indonesia ganjarmahfud 
35,Neutral,"@Ganjar_Mahfud03 @GaweiPeniel Itulah Tweet nya para kadrun  , saya tdk suka bully an begitu walau saya gak dukung Prabowo- Gibran ☺☺☺☺", ganjar_mahfud gaweipeniel itulah tweet nya para kadrun saya tdk suka bully an begitu walau saya gak dukung prabowo gibran 
36,Negative,@henrysubiakto bukannya kebalik..siapa yg selama ini menyerang jokowi sekeluarga dan prabowo? sampai megawati mengingatkan kader dan pendukungnya tdk terus2an menyerang jokowi..mungkin melihat suara ganjar semakin anjlok.jd pura2 baik sok bela jokowi., henrysubiakto bukannya kebalik siapa yg selama ini menyerang jokowi sekeluarga dan prabowo sampai megawati mengingatkan kader dan pendukungnya tdk terus an menyerang jokowi mungkin melihat suara ganjar semakin anjlok jd pura baik sok bela jokowi 
37,Negative,Rakyat yg mana ? Rakyat pendukung Ganjar ? Jgn ente generalisasikan orang yg emang tidak suka @psi_id karena tidak mendukung @ganjarpranowo lalu ente klaim sbg rakyat bangsa ini ! Jgn menggeneralisasi suatu masalah dgn logika sempit ente ! Berilah rakyat edukasi politik yg baik !,rakyat yg mana rakyat pendukung ganjar jgn ente generalisasikan orang yg emang tidak suka psi_id karena tidak mendukung ganjarpranowo lalu ente klaim sbg rakyat bangsa ini jgn menggeneralisasi suatu masalah dgn logika sempit ente berilah rakyat edukasi politik yg baik 
38,Positive,@NanangAR1f1n Keberhasilan Alam Ganjar adalah contoh teladan bagi para pemuda yang ingin berprestasi di Makassar @ecalalapo  AlamJelajahSulsel, nanangar n keberhasilan alam ganjar adalah contoh teladan bagi para pemuda yang ingin berprestasi di makassar ecalalapo alamjelajahsulsel
39,Positive,@ganjarpranowo Pak ganjar tetap idola deh buat emak2 semoga harga2 sembako lekas stabil, ganjarpranowo pak ganjar tetap idola deh buat emak semoga harga sembako lekas stabil
40,Neutral,"@ganjarpranowo Perhatian pada petani dan pedagang, Terima kasih Pak Ganjar", ganjarpranowo perhatian pada petani dan pedagang terima kasih pak ganjar
41,Positive,"@kangdede78 Logical fallacy paling gibran alias odong2. Ganjar punya modal keluarga yg luarbiasa, istri dan anak yg cerdas, cemerlang dan beradab, tidak gibran dan tidak planga-plongo. Itu alasannya kenapa ikut bantu kampanye di tempat yg berbeda.", kangdede logical fallacy paling gibran alias odong ganjar punya modal keluarga yg luarbiasa istri dan anak yg cerdas cemerlang dan beradab tidak gibran dan tidak planga plongo itu alasannya kenapa ikut bantu kampanye di tempat yg berbeda 
42,Negative,"@Miduk17 Intinya... Capres untuk kali ini hanya GANJAR - MAHFUD lah yang paling Clear and Clean...  Selain itu.. NKRI akan jalan ditempat, kalau tidak mundur seperti jaman Orba.  Berpikir lah sedikit cerdas, jangan terlalu lugu.", miduk intinya capres untuk kali ini hanya ganjar mahfud lah yang paling clear and clean selain itu nkri akan jalan ditempat kalau tidak mundur seperti jaman orba berpikir lah sedikit cerdas jangan terlalu lugu 
43,Negative,@Kanjeng2022 Memalukan pendukung ganjar, kanjeng memalukan pendukung ganjar
44,Neutral,@aan_muba all in pak Ganjar Pranowo🤟, aan_muba all in pak ganjar pranowo 
45,Neutral,"Capres nomor urut 3, Ganjar Pranowo mendorong adanya stabilisasi produksi dan pemanfaatan data untuk menstabilkan harga bahan pokok di Indonesia. #GanjarMahfud2024 https://t.co/Gqr7TFy0bO",capres nomor urut ganjar pranowo mendorong adanya stabilisasi produksi dan pemanfaatan data untuk menstabilkan harga bahan pokok di indonesia ganjarmahfud 
46,Negative,"@tvOneNews Atas dasar apa mereka bergabung dengan prabowo gibran, padahal itu wadas proyek pusat, sama saja proyek Jokowi, hanya karena itu di wilayah ganjar bukan berarti itu tanggung jawabnya sepenuhnya.  Berarti mereka ini pendukung pesanan ya?", tvonenews atas dasar apa mereka bergabung dengan prabowo gibran padahal itu wadas proyek pusat sama saja proyek jokowi hanya karena itu di wilayah ganjar bukan berarti itu tanggung jawabnya sepenuhnya berarti mereka ini pendukung pesanan ya 
47,Positive,@ganjarpranowo Langkah pak ganjar dalam penanganan emang gaperlu diragukan lagi ya insyaallah berjalan dengan lancar dah membuat harga sembako lebih stabil, ganjarpranowo langkah pak ganjar dalam penanganan emang gaperlu diragukan lagi ya insyaallah berjalan dengan lancar dah membuat harga sembako lebih stabil
48,Positive,@ganjarpranowo Sosok seperti pak ganjar yg cocok pimpin indonesia 🥰, ganjarpranowo sosok seperti pak ganjar yg cocok pimpin indonesia 
49,Positive,@ganjarpranowo Enggak heran dong pak Ganjar selalu mendengarkan aspirasi masyarakat, ganjarpranowo enggak heran dong pak ganjar selalu mendengarkan aspirasi masyarakat
50,Neutral,Padahal Uchiha Ganjar dan Uchiha Koster bisa prediksi masa depan pake sherlinggan mereka makanya nolak,padahal uchiha ganjar dan uchiha koster bisa prediksi masa depan pake sherlinggan mereka makanya nolak
