created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Dec 06 23:59:58 +0000 2023;1732550480604299361;"@yusuf_dumdum Saya berpikir positif saja....  "Dimana ada ganjar kenapa disitu ada jokowi?" Berarti bapak Ganjar yang di cintai rakyat Indonesia dan semoga bapak Ganjar Pranowo dan bapak Mahfud MD menjadi Presiden &amp  Wakil Presiden Republik Indonesia 2024🇲🇨❤️";0;1;0;2;in;1682448384446308353;1732362986759852043;LgaolMail47028;https://twitter.com/LgaolMail47028/status/1732550480604299361
Wed Dec 06 23:59:53 +0000 2023;1732550460618522934;"@narkosun Penjilat Ganjar emang beda, memang benar kata Anies, pendukung itu cerminan yg didukung, penghianat kek Ganjar ya memang harus didukung penghianat macam kalian, klop.   https://t.co/6wsIUJjl9K";1;10;2;14;in;59346171;1732392659753566264;KDroneHunter;https://twitter.com/KDroneHunter/status/1732550460618522934
Wed Dec 06 23:59:45 +0000 2023;1732550426716000731;"@KATADATAcoid tetap setia dukung ganjar mahfud";0;0;0;0;in;1270281047679221760;1732321125244539009;angelyyyna97;https://twitter.com/angelyyyna97/status/1732550426716000731
Wed Dec 06 23:59:14 +0000 2023;1732550297824985210;"@pipieoo6 @Dennysiregar7 OMONG KOSONG, 10tahunan rezim teror kebo mana ada lagi rakyat percaya, bagi-2 sembako mana sekarang, dana para kebo sudah mulai menyusut ya saat bohir kabur mencret ganjar keok😂";0;0;0;0;in;1709817113786146816;1732313040970994098;KenapeAje;https://twitter.com/KenapeAje/status/1732550297824985210
Wed Dec 06 23:59:12 +0000 2023;1732550286168952869;"@jpnncom mantap pak 💗 semangat menegakkan hukum di Indonesia, Ganjar-Mahfud pasti menang 🌷";0;0;0;0;in;1354232674408255488;1732067626350977184;jmndpty__;https://twitter.com/jmndpty__/status/1732550286168952869
Wed Dec 06 23:58:56 +0000 2023;1732550222201651260;"@gorunbiraz3 @PDIPerjuangan @jokowi @erwinaksa_id @PartaiSocmed @Mr_As_Opal @tijabar @BosPurwa Mending dari dulu ganjar yg jadi presiden";0;1;0;0;in;2789837388;1732278094718013734;bdjkdkdgnd;https://twitter.com/bdjkdkdgnd/status/1732550222201651260
Wed Dec 06 23:58:55 +0000 2023;1732550214538736083;"@icikiwir_08 @Wadas_Melawan Liat nih narasi pendukung 02...sama sekali tidak punya empati dan niat baik. Lagian wadas itu proyek pusat, ganjar yg pasang badan";0;0;0;4;in;1476532872043327491;1732439374498033766;RifkyNash;https://twitter.com/RifkyNash/status/1732550214538736083
Wed Dec 06 23:58:49 +0000 2023;1732550190966677574;"Ini data Jawa Tengah dibawah kepemimpinan Pak Ganjar juara dalam hal Provinsi anti korupsi";0;0;0;2;in;969099873856335877;1732550190966677574;ParapatYohanes;https://twitter.com/ParapatYohanes/status/1732550190966677574
Wed Dec 06 23:58:48 +0000 2023;1732550187976204519;"@Melihat_Indo Semakin banyak dukungan dari masyarakat kepada mas Ganjar Pranowo. Good";0;0;0;0;in;536038885;1732316153006133376;lucastill98;https://twitter.com/lucastill98/status/1732550187976204519
Wed Dec 06 23:58:48 +0000 2023;1732550187623854440;"@Melihat_Indo Sebuah kehormatan bagi pak ganjar, terimakasih untuk masyarakat Kalimantan Timur";0;0;0;0;in;1711308984182063104;1732316153006133376;Rafatar44658607;https://twitter.com/Rafatar44658607/status/1732550187623854440
Wed Dec 06 23:58:46 +0000 2023;1732550177700106535;"Kata Siapa Ganjar-Mahfud Tidak Bisa Meneruskan Pemerintahan Jokowi.  Pilihan Tepat Untuk Menyelamatkan Bangsa &amp  Negara ini Ya Pilih @ganjarpranowo &amp  @mohmahfudmd .  Jayalah Negriku Jayalah Bangsaku Salam Bhineka Tunggal Ika #GasssGanjarMahfud";0;0;0;0;in;1472799248143900674;1732550177700106535;Pacul__Ghoank;https://twitter.com/Pacul__Ghoank/status/1732550177700106535
Wed Dec 06 23:58:41 +0000 2023;1732550157013807198;"@NanangAR1f1n Alam Ganjar memberikan inspirasi kepada generasi muda Makassar untuk berani bermimpi besar @eomoniee_  AlamJelajahSulsel";0;0;0;0;in;1689495799259078656;1732330596301676656;n1kikiraiiii;https://twitter.com/n1kikiraiiii/status/1732550157013807198
Wed Dec 06 23:58:21 +0000 2023;1732550072699867204;"@Melihat_Indo Masyaallah luar biasa pak Ganjar bisa langsung di angkat sebagai warga kehormatan";0;0;0;0;in;1711308352381497344;1732316153006133376;sanuktri18465;https://twitter.com/sanuktri18465/status/1732550072699867204
Wed Dec 06 23:58:18 +0000 2023;1732550060196717015;"@Melihat_Indo Emg pantas pak ganjar mendapatkan kehormatan dari adat karna kecintaanya terhadap kebinekaan";0;0;0;0;in;1602841328966316032;1732316153006133376;Yoyokajadeh;https://twitter.com/Yoyokajadeh/status/1732550060196717015
Wed Dec 06 23:57:59 +0000 2023;1732549982442704935;"@sukardiyahya162 @psi_id @ganjarpranowo 75% publik ini pendukung Ganjar semua ??!! Wah Amiinn .. makasi udah di doakan https://t.co/jiMqdXZPvX";1;1;0;0;in;1529491450605768704;1732549300662718633;StefanAntonio__;https://twitter.com/StefanAntonio__/status/1732549982442704935
Wed Dec 06 23:57:58 +0000 2023;1732549978575577595;"@ganjarpranowo wah Pak Ganjar dekat banget dengan rakyat dari berbagai latar belakang";0;0;0;0;in;1503173679143825408;1732312270624207357;jihanputru;https://twitter.com/jihanputru/status/1732549978575577595
Wed Dec 06 23:57:50 +0000 2023;1732549943561433195;"@HusinShihab Aneh juga, Ganjar melanjutkan Jokowi tapi nyatakan Indonesia tidak baik-baik 😂";0;0;0;0;in;2611665710;1732223537119994222;pettasewa1;https://twitter.com/pettasewa1/status/1732549943561433195
Wed Dec 06 23:57:48 +0000 2023;1732549935432904803;"Ganjar Pranowo menegaskan lokalitas budaya tidak boleh diabaikan. #GanjarMahfud2024 https://t.co/NWTQANwRVi";0;0;0;0;in;875142990;1732549935432904803;Ganjar_corner;https://twitter.com/Ganjar_corner/status/1732549935432904803
Wed Dec 06 23:57:28 +0000 2023;1732549849781063845;"Pakaian adat menghias Pak Ganjar Pranowo sebagai warga kehormatan adat Dayak Kenyah Kalimantan Timur.  Gaspol Ganjar-Mahfud ✊️🤟🇲🇨 #SahabatGanjar  #GanjarMahfud2024 https://t.co/z1b3BUaqJn";0;0;17;25;in;1307892095240212480;1732549849781063845;Nduklala2;https://twitter.com/Nduklala2/status/1732549849781063845
Wed Dec 06 23:57:27 +0000 2023;1732549846966665664;"@kumparan 2024 all in ganjar Mahfud untuk Indonesia maju";0;0;0;0;in;1427318081794154512;1732340417491058948;MShoqrun;https://twitter.com/MShoqrun/status/1732549846966665664
Wed Dec 06 23:57:23 +0000 2023;1732549831967789212;"Ganjar Pranowo mendorong adanya pemberian pendidikan yang mendasar terkait lingkungan hidup yang dimulai sejak dini. #GanjarMahfud2024 https://t.co/g51kjlrjtB";0;0;1;1;in;875142990;1732549831967789212;Ganjar_corner;https://twitter.com/Ganjar_corner/status/1732549831967789212
Wed Dec 06 23:57:23 +0000 2023;1732549830738862469;"@jjaemonade_ @kegblgnunfaedh Haha  nuhun abi seuri isuk isuk";0;0;0;0;in;1428932633195520001;1732277260085043232;GSwanara;https://twitter.com/GSwanara/status/1732549830738862469
Wed Dec 06 23:57:22 +0000 2023;1732549824460018097;"Prabs bisa joget gemoy.  Ganjar:";0;1;0;0;in;53376784;1732549824460018097;RizkiJSaputra;https://twitter.com/RizkiJSaputra/status/1732549824460018097
Wed Dec 06 23:56:53 +0000 2023;1732549705329148245;"@icikiwir_08 @Wadas_Melawan Ini sebenarnya tanggung jawab dari pemerintah pusat dan Ganjar Pranowo. Di Wadas itu projek strategis nasional (PSN), begitu pula yang terjadi di Rembang.";0;0;0;1;in;1715075472198119425;1732439374498033766;ZiziShark;https://twitter.com/ZiziShark/status/1732549705329148245
Wed Dec 06 23:56:52 +0000 2023;1732549699398451676;"@ganjarpranowo Alhamdulillah program ini akan terus bisa berjalan bersama pak ganjar";0;0;0;0;in;1452912419022376961;1732312270624207357;binda2k;https://twitter.com/binda2k/status/1732549699398451676
Wed Dec 06 23:56:46 +0000 2023;1732549676342370556;"Ganjar Pranowo dinobatkan sebagai warga kehormatan, oleh suku adat Dayak Kalimantan Timur. #GanjarMahfud2024 https://t.co/e81kwOn9wF";0;0;0;0;in;875142990;1732549676342370556;Ganjar_corner;https://twitter.com/Ganjar_corner/status/1732549676342370556
Wed Dec 06 23:56:41 +0000 2023;1732549654859145659;"@NanangAR1f1n Pesan positif Alam Ganjar menciptakan gelombang optimisme di kalangan generasi muda Makassar @dinothesun  AlamJelajahSulsel";0;0;0;0;in;1688451595770773504;1732330596301676656;BurhanMalikk04;https://twitter.com/BurhanMalikk04/status/1732549654859145659
Wed Dec 06 23:56:24 +0000 2023;1732549584461930714;"@ganjarpranowo Mantap gasspool pa Ganjar";0;0;0;0;in;1320884598125936642;1731594026686763251;DarnaFirgiawan;https://twitter.com/DarnaFirgiawan/status/1732549584461930714
Wed Dec 06 23:56:19 +0000 2023;1732549560151719959;"@Kanjeng2022 Pendukung ganjar memalukan";0;0;0;0;in;1620712595572547586;1732391567275831790;hartonometroadv;https://twitter.com/hartonometroadv/status/1732549560151719959
Wed Dec 06 23:56:15 +0000 2023;1732549544846713148;"@tempodotco nah sudah komen orang ini, berarti fix ini cuma drama kubu ganjar ya";0;0;0;0;in;3022070084;1732370630983741524;torotrapah;https://twitter.com/torotrapah/status/1732549544846713148
Wed Dec 06 23:56:12 +0000 2023;1732549531747967258;"@Dennysiregar7 Transparansi dan partisipasi masyarakat menjadi landasan pemerintahan Ganjar yang demokratis.";0;1;0;0;in;1660670452879220736;1732313040970994098;pipieoo6;https://twitter.com/pipieoo6/status/1732549531747967258
Wed Dec 06 23:56:08 +0000 2023;1732549516782678395;"Hari kesepuluh kampanye, Ganjar Pranowo sambangi IKN https://t.co/tjAXXlkxbN";0;0;0;1;in;18071520;1732549516782678395;antaranews;https://twitter.com/antaranews/status/1732549516782678395
Wed Dec 06 23:56:06 +0000 2023;1732549506905088136;"@ganjarpranowo Rakyat tau kok pak ganjar adalah sosok yg pas buat indonesiaa";0;0;0;0;in;1691018217970679808;1732312270624207357;nurulluk;https://twitter.com/nurulluk/status/1732549506905088136
Wed Dec 06 23:56:05 +0000 2023;1732549501876097375;"@Dennysiregar7 Komitmen Ganjar terhadap pembangunan berkelanjutan menginspirasi banyak pihak.";0;0;0;0;in;1688496951338426368;1732313040970994098;Zurable1;https://twitter.com/Zurable1/status/1732549501876097375
