idx,result,text,clean
0,Neutral,@bumnbersatu @jokowi @ganjarpranowo @Adiprayitno_20 @prabowo @aniesbaswedan Ambil sembakonya jangan pilih/coblos yg memberinya agar tdk balik modal🤣🤣😂, bumnbersatu jokowi ganjarpranowo adiprayitno_ prabowo aniesbaswedan ambil sembakonya jangan pilih coblos yg memberinya agar tdk balik modal 
1,Neutral,"@brajageni666 @_MbakSri_ @Kiyai_MarufAmin @jokowi @mohmahfudmd @ListyoSigitP @prabowo @Menlu_RI @gundala2221 @Gi_N0ng Tempat itu jg prnh jd tempat pengungsian org vietnam saat perang vietnam,org vietnam yg kabur dari negaranya menuju indonesia dijuluki  Manusia perahu,masalah  pengungsian harus tangani internasional,klo di tanggung negara Terutama klo liat situasi saat ini sprtnya malah jd beban", brajageni _mbaksri_ kiyai_marufamin jokowi mohmahfudmd listyosigitp prabowo menlu_ri gundala gi_n ng tempat itu jg prnh jd tempat pengungsian org vietnam saat perang vietnam org vietnam yg kabur dari negaranya menuju indonesia dijuluki manusia perahu masalah pengungsian harus tangani internasional klo di tanggung negara terutama klo liat situasi saat ini sprtnya malah jd beban
2,Neutral,@Dennysiregar7 @psi_id @prabowo @gibran_tweet Lagi musim sinetron dan drama sekarang. https://t.co/tbTkmswoFw, dennysiregar psi_id prabowo gibran_tweet lagi musim sinetron dan drama sekarang 
3,Neutral,@AkuSukses8 @BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Yup. Juara tata kata dan juara debat serta presiden polling😁, akusukses bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela p w _ bengkeldodo propaganda chaves ajengcute __ yup juara tata kata dan juara debat serta presiden polling 
4,Neutral,@golkar_id @prabowo @gibran_tweet Ntar takutnya disetir bapak dari belakang, golkar_id prabowo gibran_tweet ntar takutnya disetir bapak dari belakang
5,Neutral,@Melihat_Indo Memahami bahwa kritik terhadap prabowo gibran berkaitan dengan pengalaman dan kualitas adalah langkah awal dalam evaluasi kepemimpinan., melihat_indo memahami bahwa kritik terhadap prabowo gibran berkaitan dengan pengalaman dan kualitas adalah langkah awal dalam evaluasi kepemimpinan 
6,Neutral,@golkar_id @prabowo @gibran_tweet tim no 1 dah dahh, golkar_id prabowo gibran_tweet tim no dah dahh
7,Neutral,@golkar_id @prabowo @gibran_tweet Yang diterus banyakin hutang yaa, golkar_id prabowo gibran_tweet yang diterus banyakin hutang yaa
8,Neutral,@golkar_id @prabowo @gibran_tweet Wakilnya udah banyak belajar belom tuh?, golkar_id prabowo gibran_tweet wakilnya udah banyak belajar belom tuh 
9,Neutral,@liputan6dotcom Sebetulnya mereka kader kader cerdas dengan bergabung dengan prabowo-  gibran  mungkin mereka  mau mencari jatinya., liputan dotcom sebetulnya mereka kader kader cerdas dengan bergabung dengan prabowo gibran mungkin mereka mau mencari jatinya 
10,Neutral,@drReUtari08 @gibran_tweet @prabowo Karena ada ketidakadilan dan rekayasa hukum memotivasi netizen utk melawan..meskipun sadar bahwa Bapak dan Anak bebal dan tak punya malu, drreutari gibran_tweet prabowo karena ada ketidakadilan dan rekayasa hukum memotivasi netizen utk melawan meskipun sadar bahwa bapak dan anak bebal dan tak punya malu
11,Positive,@KangSemproel Nganuu, kangsemproel nganuu
12,Negative,"@Chaves1305 @prabowo Yg lain lagi cari2 untuk menjelek2an kandidat lainnya, itu strategi di sebelah sana", chaves prabowo yg lain lagi cari untuk menjelek an kandidat lainnya itu strategi di sebelah sana
13,Negative,"@WongAlasRoban Di jilati kok gak masuk om, sekalian cebokin", wongalasroban di jilati kok gak masuk om sekalian cebokin
14,Neutral,"@Redgerbil5 @ZulkifliLubis69 @gibran_tweet @prabowo @aniesbaswedan Kadrun ori, arab pesek wkwkwk😅", redgerbil zulkiflilubis gibran_tweet prabowo aniesbaswedan kadrun ori arab pesek wkwkwk 
15,Negative,"@AriRush5 @tvOneNews Belom tau pak prabowo memberikan beasiswa kpd ribuan anak asuhnya? Artinya prabowo sudah realisasi. Anies ngapain? Ga semua orang bisa diberikan tata kata dapat langsung beli makanan dan susu, klo sudah lapar mau bagaimana?", arirush tvonenews belom tau pak prabowo memberikan beasiswa kpd ribuan anak asuhnya artinya prabowo sudah realisasi anies ngapain ga semua orang bisa diberikan tata kata dapat langsung beli makanan dan susu klo sudah lapar mau bagaimana 
16,Positive,@Dennysiregar7 Kayaknya Prabowo menang pilpres kali ini bang Den...., dennysiregar kayaknya prabowo menang pilpres kali ini bang den 
17,Neutral,"@Dennysiregar7 @psi_id @prabowo @gibran_tweet Dipecat jadi Orang apa , bang ?", dennysiregar psi_id prabowo gibran_tweet dipecat jadi orang apa bang 
18,Negative,"@Wadas_Melawan Lah gila aja kalo warga wadas pilih prabowo, orang yg punya proyek ada di sana", wadas_melawan lah gila aja kalo warga wadas pilih prabowo orang yg punya proyek ada di sana
19,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Sapa Kyainya?, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ sapa kyainya 
20,Positive,"Kang Emil saja yakin Prabowo-Gibran menang satu putaran, mana kalian tidak Guys?   #PrabowoGibran2024  #menangsatuputaran  #Prabowopresiden2024 https://t.co/rJLbJ7S1LD",kang emil saja yakin prabowo gibran menang satu putaran mana kalian tidak guys prabowogibran menangsatuputaran prabowopresiden 
21,Negative,@PandamPamungkas @PartaiSocmed @prabowo Wah iya org' gila kuasa, pandampamungkas partaisocmed prabowo wah iya org gila kuasa
22,Negative,@Melihat_Indo Makin kesini makin keliatan banget Prabowo gibran tidak layak untuk menjadi seorang pemimpin karena kebanyakan melanggar gimna Indonesia mau maju nanti, melihat_indo makin kesini makin keliatan banget prabowo gibran tidak layak untuk menjadi seorang pemimpin karena kebanyakan melanggar gimna indonesia mau maju nanti
23,Neutral,@PDemokrat Bukannkah pilpres itu satu paket capres dan cawapres. Kenapa Partai Demokrat tidak menyebutka  juga cawapresnya? Dan banyak baliho caleg yg saya lihat itu hanya ada foto pak SBY dan Pak Prabowo dipasang bersamaan..., pdemokrat bukannkah pilpres itu satu paket capres dan cawapres kenapa partai demokrat tidak menyebutka juga cawapresnya dan banyak baliho caleg yg saya lihat itu hanya ada foto pak sby dan pak prabowo dipasang bersamaan 
24,Neutral,Sumber: Ratusan Simpatisan PKS Jabar Deklarasi Dukung Prabowo-Gibran https://t.co/y4TtdMOCJG,sumber ratusan simpatisan pks jabar deklarasi dukung prabowo gibran 
25,Negative,"@genx36545403 @prabowo @gibran_tweet Ehh BLOG yg ditiru jangan makannya, tapi tiru pemimpinnya ketika salah tau malu ngundurin diri minimal,kalo nnga bundir pake samurai, bisa ga ditiru?", genx prabowo gibran_tweet ehh blog yg ditiru jangan makannya tapi tiru pemimpinnya ketika salah tau malu ngundurin diri minimal kalo nnga bundir pake samurai bisa ga ditiru 
26,Neutral,@golkar_id @prabowo @gibran_tweet Yang ngibul yang ngibul, golkar_id prabowo gibran_tweet yang ngibul yang ngibul
27,Negative,@Dennysiregar7 @psi_id @prabowo @gibran_tweet Dipecat dan di pidanakan itu yg pas untuk si ade armando mulut comberan 😀, dennysiregar psi_id prabowo gibran_tweet dipecat dan di pidanakan itu yg pas untuk si ade armando mulut comberan 
28,Neutral,@KenapeAje @Dennysiregar7 @psi_id @prabowo @gibran_tweet @yunartowijaya @adearmando61 Celeng udah makan blm . Minta sama PSI dong kan udah komen trs, kenapeaje dennysiregar psi_id prabowo gibran_tweet yunartowijaya adearmando celeng udah makan blm minta sama psi dong kan udah komen trs
29,Positive,"@yangmi3prnew Debat hrs saling sanggah , itu namanya debat , kl tdk itu hanya cakap cakap .alasan yg dibuat buat menutupi malu , Prabowo Gibran hrs kesatria kl tdk mampu , katakan sejujurnya.", yangmi prnew debat hrs saling sanggah itu namanya debat kl tdk itu hanya cakap cakap alasan yg dibuat buat menutupi malu prabowo gibran hrs kesatria kl tdk mampu katakan sejujurnya 
30,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ ANIES gak ada lawan, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ anies gak ada lawan
