created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Dec 06 23:59:56 +0000 2023;1732550472320549179;"@bumnbersatu @jokowi @ganjarpranowo @Adiprayitno_20 @prabowo @aniesbaswedan Ambil sembakonya jangan pilih/coblos yg memberinya agar tdk balik modal🤣🤣😂";0;0;0;0;in;193623463;1732248667900567814;Sgrdamai;https://twitter.com/Sgrdamai/status/1732550472320549179
Wed Dec 06 23:59:53 +0000 2023;1732550459465040102;"@brajageni666 @_MbakSri_ @Kiyai_MarufAmin @jokowi @mohmahfudmd @ListyoSigitP @prabowo @Menlu_RI @gundala2221 @Gi_N0ng Tempat itu jg prnh jd tempat pengungsian org vietnam saat perang vietnam,org vietnam yg kabur dari negaranya menuju indonesia dijuluki  Manusia perahu,masalah  pengungsian harus tangani internasional,klo di tanggung negara Terutama klo liat situasi saat ini sprtnya malah jd beban";0;1;0;1;in;1607379345919868928;1732426952425066867;TerahirPejuang;https://twitter.com/TerahirPejuang/status/1732550459465040102
Wed Dec 06 23:59:50 +0000 2023;1732550446114574511;"@Dennysiregar7 @psi_id @prabowo @gibran_tweet Lagi musim sinetron dan drama sekarang. https://t.co/tbTkmswoFw";0;0;0;0;in;1702851146203959296;1732319569996599492;KDimitrian08;https://twitter.com/KDimitrian08/status/1732550446114574511
Wed Dec 06 23:59:48 +0000 2023;1732550437663056234;"@AkuSukses8 @BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Yup. Juara tata kata dan juara debat serta presiden polling😁";0;0;0;0;in;1603576856573509633;1732283173088956902;Kimberley_2024;https://twitter.com/Kimberley_2024/status/1732550437663056234
Wed Dec 06 23:59:42 +0000 2023;1732550412488810581;"@golkar_id @prabowo @gibran_tweet Ntar takutnya disetir bapak dari belakang";0;0;0;0;in;1731655123221569536;1732289381657129325;Donitama22;https://twitter.com/Donitama22/status/1732550412488810581
Wed Dec 06 23:59:29 +0000 2023;1732550357929378226;"@Melihat_Indo Memahami bahwa kritik terhadap prabowo gibran berkaitan dengan pengalaman dan kualitas adalah langkah awal dalam evaluasi kepemimpinan.";0;0;0;0;in;1725475591355498496;1732354736521871659;Freya592946;https://twitter.com/Freya592946/status/1732550357929378226
Wed Dec 06 23:59:28 +0000 2023;1732550352988442813;"@golkar_id @prabowo @gibran_tweet tim no 1 dah dahh";0;0;0;0;in;1724762350618812416;1732289381657129325;gladisasa;https://twitter.com/gladisasa/status/1732550352988442813
Wed Dec 06 23:59:17 +0000 2023;1732550307299922109;"@golkar_id @prabowo @gibran_tweet Yang diterus banyakin hutang yaa";0;0;0;0;in;1722877219054436352;1732289381657129325;pancakagemala;https://twitter.com/pancakagemala/status/1732550307299922109
Wed Dec 06 23:59:16 +0000 2023;1732550302702919866;"@golkar_id @prabowo @gibran_tweet Wakilnya udah banyak belajar belom tuh?";0;0;0;0;in;1731652854220455936;1732289381657129325;Tamaraza5;https://twitter.com/Tamaraza5/status/1732550302702919866
Wed Dec 06 23:58:58 +0000 2023;1732550230753866018;"@liputan6dotcom Sebetulnya mereka kader kader cerdas dengan bergabung dengan prabowo-  gibran  mungkin mereka  mau mencari jatinya.";0;0;0;0;in;1702116260425932800;1732358868414636102;ghaur_mang42893;https://twitter.com/ghaur_mang42893/status/1732550230753866018
